tweet_no	text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
121	Когато има годна covid ваксина, няма да има производствен капацитет, за да може всеки да се ваксинира веднага. Кой да е първи ще бъде един от най-интересните етични въпроси.	no	nan	nan	nan	nan	no	no
122	„ЕК мобилизира всички средства от бюджета на ЕС срещу #coronavirus. Няма преструктуриране на фондове за сметка на други. Даваме възможност на държавите за гъвкавост, така че всяка страна да пренасочи средства към най-засегнатите области.“ @GabrielMariya https://t.co/nGJZNSQvIh	yes	no	yes	no	no	no	no
123	По време на кризата с #COVID19 трансграничните и сезонните работници се сблъскаха с нови проблеми. Парламентът иска да се прилагат съществуващите правила, за да се гарантират справедливи условия на труд за тези групи работници сега и след кризата. Вижте ↓ #ЕвропаСрещуCovid19 https://t.co/oIZFsLNjVN	yes	no	yes	no	no	no	no
124	#coronavirus Ако добрия поглед лекуваше от коронавируса, всички на земята мигновенно биха станали праведници. Но от нас се иска осъзнаване, стремеж към отдаване, а не към користна изгода, мисли за всички, а не за себе си. Когато на всички стане добре, ще престане и болеста. М.Л.	no	nan	nan	nan	nan	no	no
125	нямам търпение като се появи covid-20 всички чичовци в българия единодушно да кажат "ееее ново 20"	no	nan	nan	nan	nan	no	no
126	За да даде възможност на медицинския персонал да се справи с тази трудна задача, ЕС предоставя допълнителни средства за европейските болници и подкрепя засиленото производство на медицински материали: https://t.co/vHyHW1bBa1 #ЕвропаСрещуCOVID19	yes	no	yes	no	no	no	no
127	Австрийските политици ще дарят по една нетна заплата за борба с Covid-19. Ето и кой колко: https://t.co/c8Mhst3lvH https://t.co/HX77SYaRJj	yes	no	yes	no	no	no	no
128	-@AndreyNovakov ГЕРБ/ЕНП: Ще ми се да отчетем и това, което е направено до момента, и то на фона на #COVID19 кризата. Готов съм да чуя и исканията на протестиращите, но конкретни искания! Защото “смяна на системата” е нещо, което 30г. се подмята периодично https://t.co/ls6sxHQASy	no	nan	nan	nan	nan	no	no
129	Проф. Мангъров на Великобритания се благодари, че поне повечето изгорели са били сухи съчки. Не ние тях, ТЕ нас ще стигат! https://t.co/0RaGSCPSP5	no	nan	nan	nan	nan	no	no
130	Безобидна история, това просто е едно гриче ... https://t.co/lxWymTDTmd	no	nan	nan	nan	nan	no	no
131	айде и английския Бойко болен https://t.co/92v5q46mjI	yes	no	yes	no	no	no	no
132	25 са вече излекуваните от COVID-19 в България съобщиха от Националния оперативен щаб https://t.co/wfbQgHzGk5	yes	no	yes	no	no	no	no
133	Австрия очевидно показва отлични умения за кризисен мениджмънт във връзка с #COVID19 . Според изследване на DKG страната се нарежда на челните места по редица показатели: https://t.co/3zNCnFebFf https://t.co/z4LdocyVrO	yes	no	yes	no	no	no	no
134	#ЕвропаСрещуCOVID19 Д-р Оля Шпортко е украинка, която идва да живее в България със семейството си преди пет години. Сега работи на първа линия срещу коронавируса в интензивно отделение към Александровска болница. https://t.co/5BEB86BaBz	no	nan	nan	nan	nan	no	no
135	Навремето, като нямаше Covid, имахме големи проблеми с Xvid Codec	no	nan	nan	nan	nan	no	no
136	Според последните прогнози икономиката на ЕС ще се свие с 8,3% през 2020 г. заради пандемията от коронавируса. За да се осигурят средствата за възстановяване и инвестициите за бъдещето, ЕП настоява за нови източници на бюджетни приходи: https://t.co/GQ0FkOvUlf #ЕвропаСрещуCOVID19 https://t.co/JGDzVkZnoL	yes	no	yes	no	no	no	no
137	ВАЖНО! 📢 Срокът за кандидатстване е удължен до 2⃣0⃣ март! https://t.co/Jhi6VUny9x	yes	no	yes	no	no	no	no
138	Тенисистка №1 на България: Бях опитно зайче в Италия заради COVID-19 https://t.co/i3PZAaD5vL	no	nan	nan	nan	nan	no	no
139	Защо са психиатри като имаме най-много казани за ракия на 100к човека. Всъщност не знам колко казана има в 🇧🇬, но не вярвам някой да знае. https://t.co/vnCSUldMv4	no	nan	nan	nan	nan	no	no
140	23 нови изследователски проекта ще разработват решения за борба с коронавируса благодарение на финансиране от ЕС на стойност 128 млн. евро https://t.co/rIWb27YhZn https://t.co/trYCgy1yzX	yes	no	yes	no	no	no	no
141	Германия въвежда задължителен граничен COVID-19 тест за рискови държави https://t.co/o4vntnqjVO	yes	no	yes	no	no	no	no
142	661 са потвърдените случаи на COVID-19 у нас, има още два смъртни случая - https://t.co/ROSkOUtuRW	yes	no	yes	no	no	no	no
143	#ЕвропаСрещуCOVID19 Неотдавна завършила училище, Каролин от Германия ще следва медицина следващата година: нейното призвание е да помага на хората и в момента доброволства като шофьор на линейка. За своята безопасност и тази на пациентите тя спазва всички необходими мерки. https://t.co/uzMarSUcV3	no	nan	nan	nan	nan	no	no
144	Лекарите ще връщат пари на здравната каса заради COVID-19 https://t.co/aI6okKKXM7	yes	no	yes	no	yes	no	yes
145	Ей тази⬇️поредица, ако имате повече време или вечер. Аз тази вечер ще съм на Пучини от https://t.co/D6stfiDNQD (по-бавно става, но става). И една статия с много линкове, защото изкуството ни прави по-щастливи: https://t.co/O5c3PJAy5e https://t.co/dJZPTGJug1	no	nan	nan	nan	nan	no	no
146	В Македония обявиха Covid 19 за техен , защото бил тръгнал от Прилеп.	no	nan	nan	nan	nan	no	no
147	Отидох на море в Созопол, търсих час и половина място за паркиране, тръгнах си и отидох в Св. Влас. Това е положението. Созополчани казаха, че не са имали такъв weekend дори и в години без COVID-19.	no	nan	nan	nan	nan	no	no
148	Пазете себе си, пазете и другите. За да намалим всички заедно риска от пренасяне на коронавируса, избягвайте места с много хора и масови събирания #ЕвропаСрещуCovid19 https://t.co/j6wASrGx3A	no	nan	nan	nan	nan	no	no
149	Държавната помощ може да спаси европейските бизнеси в момента на кризата #coronavirus. Но средства не трябва 🚫 да се предоставят на фирми, които имат връзки с данъчни убежища или други практики на данъчни измами или корупция 👎. Препоръките на ЕК ➡ https://t.co/Hgyoo641aN https://t.co/Z4gLeyJ4at	no	nan	nan	nan	nan	no	no
150	преживел съм Чернобил 1986, краха на СССР 1991, BSE 2001, H5N1 2007, H1N1 2009, Фукушима 2011, ебола 2014, Covid-19 2020, неколко краЙя на света, плюс некои фуДболни трагедии (нема да ги споменаван, че..) .. ми асам ветеран от апокалипсиса	no	nan	nan	nan	nan	no	no
151	Тукашния Мелбърн ми е България, всеки ден нов рекорд на случаи с Covid-19, масово неспазване на правилата, яко конспирации, брифинг след брифинг, локдаун от не знам си кога и става все по-зле, само дето тук е зима	no	nan	nan	nan	nan	no	no
152	Честито Възкресение Христово! Здраве и благодат в домовете, мир и светлина в душите ни! Светли и благословени Великденски празници! Снимка: Параклисът в комплекс #Слънчеватакъща #ВъзкресениеХристово #Великден #holiday #relax #spring #Easter #StaySafe #StayHome #останивкъщи https://t.co/PPJoyt7Uqr	no	nan	nan	nan	nan	no	no
153	Българин хвърли стол от балкона, италианците отговориха, като хвърляха камъни и пробиваха прозорците на паркираните български автомобили. https://t.co/AkWEiYvmlx	no	nan	nan	nan	nan	no	no
154	Няма данни COVID 19 да е отслабен, предупреди д-р Петър Марков, епидемиолог от Оксфорд https://t.co/PWC4Jagl4B	no	nan	nan	nan	nan	no	no
155	Туристическият сектор бе сериозно засегнат от пандемията от коронавируса. Научете какво прави Европа, за да подпомогне бранша: https://t.co/dsbBbHbZii #ЕвропаСрещуCOVID19 #EUandMe	no	nan	nan	nan	nan	no	no
156	Доскоро тази тема се дискутираше теоретично. Днес, обаче, има натрупани данни, които могат да отговорят на повечето въпроси, които пациентите с автоимунни болести имат. https://t.co/TY9hY3VN0s	no	nan	nan	nan	nan	no	no
157	Повече от 40 на сто отлив на родни кандидат-студенти за обучение в чужбина през тази кампания, заради пандемията от COVID-19. Вижте още тук за това как протича кандидат-студентската кампания тази година. #EPALEBulgaria #чужбина #образование #студенти https://t.co/2JfBYTDc56	yes	no	yes	no	yes	no	no
158	Бъдещето на ЕС заложено на карта: Европейският парламент изрази подкрепа за предложения от Европейската комисия пакет за възстановяване след кризата от COVID-19: https://t.co/hQ6ejmt7bY #ЕвропаСрещуCOVID19 https://t.co/g5oJtUHi6A	yes	no	yes	no	no	no	no
159	70 години след като Робер Шуман призова за по-обединена Европа, ценности като солидарност и единство са по-нужни от всякога. Да отбележим Деня на Европа онлайн с редица събития в Европейския парламент. Гледайте на живо: https://t.co/MuYsPBeRBl #EuropeDay #ЕвропаСрещуCOVID19 https://t.co/6mvnLNDBiS	no	nan	nan	nan	nan	no	no
160	🔴 #Коронавирус: След успешен ограничен тест в Марсилия, Sanofi започва национално изпитване във #Франция на лекарството срещу малария #Plaquenil, което е показало обнадеждаващи резултати срещу #COVID19 https://t.co/lpZFi0gkaR	yes	no	yes	no	yes	no	yes
161	Ако сте се надявали на 1800 лева ей така от нищото, @No_name_No_user ще ви разочарова. https://t.co/k2guYvZwHS	no	nan	nan	nan	nan	no	no
162	Коронавирус открит в две ферми за норки в Холандия – районът отцепен на 400 метра около тях. Холандия е приела забрана на фермите за кожи, която предстои да влезе в сила през 2024. В България официално има две функциониращи ферми за норки – общо 130 000 животни. https://t.co/t0VSRFTnap	yes	no	yes	no	yes	no	no
163	Липсата на здрав разум - най-добрият приятел на #COVID19	no	nan	nan	nan	nan	no	no
164	Ж. 80. Covid пневмония.	no	nan	nan	nan	nan	no	no
165	Доза позитивизъм от австрийското лекарско съсловие, което твърди, че е набрало ценен опит и наблюдения, че се справя все по-добре с профилактиката на Covid-19, както и че даден медикамент им дава надежда за пробив още до лятото: https://t.co/MNZCW9lGPI	yes	no	yes	no	no	no	no
166	Ето бе ето кметовете вижте 🤭🤷🏻‍♀️ не пазят карантина тия диванета италианците 🤦🏻‍♀️, иначе е много смешно 🤣 https://t.co/6rH7ZJtIwk	no	nan	nan	nan	nan	no	no
167	Министерството на здравеопазването изготви препоръки към бременните жени във връзка с разпространението на COVID-19 в България https://t.co/Taj7RHeYRC	yes	no	yes	no	no	no	no
168	Покрай Covid19 природата толкова се е възстановила, че почнали да се появяват отдавна изчезнали животни. В Борисовата градина имало тасманийски вълк, около Кокаляне тиранизавър рекс, а един еко апостол бил видял кроманьонец в Красна поляна.	no	nan	nan	nan	nan	no	no
169	#UnitedAgainstCoronavirus 🌍 И Жозе Моуриньо ⚽ се включва в призива за общи международни усилия срещу пандемията на #coronavirus https://t.co/boizCHdFFc 👇 https://t.co/gjFPU4O6Is	no	nan	nan	nan	nan	no	no
170	После да не кажете, че няма и положителни страни -&gt; https://t.co/OOt278R2qF	no	nan	nan	nan	nan	no	no
171	Първите резултати от проведено анкетно проучване в България показват как се осъществява професионалното обучение на възрастни в условията на разпространение на COVID 19 https://t.co/p6utXhgSbJ	no	nan	nan	nan	nan	no	no
172	мислех, че е шега, ма не е първото нещо, което Corona beer прави след като удари едноименната пандемия, е да говори за рая зад ъгъла https://t.co/RYU7A7UaVV	no	nan	nan	nan	nan	no	no
173	Засега #coronavirus в Австрия засяга предимно хора между 45 и 54 години. Възрастните хора са слабо засегнати: https://t.co/7cABSHkOEU #coronavirus #COVID19 https://t.co/S9z6S6wSXt	yes	no	yes	no	no	no	no
174	Моля, ретуитвайте и споделяйте колкото и както ви е възможно! 💯✖🙏 https://t.co/eBAYBhILhV #COVIDー19 #COVID19 #coronavirus	no	nan	nan	nan	nan	no	no
175	Обръщение на президента на Франция Еманюел Макрон във връзка с #COVID19 https://t.co/OzmjEmMw3M	no	nan	nan	nan	nan	no	no
176	За да се предпази системния администратор си сложил маска, маската била 255.255.255.255 #SocialDistancing	no	nan	nan	nan	nan	no	no
177	Заблуждаващата информация относно #Covid19 може да бъде опасна за Вашето здраве. Винаги търсете надеждни източници и не разпространявайте съмнителни твърдения. Вижте нашия кратък наръчник как да разпознавате митовете @ https://t.co/waYsIvCBVt #ЕвропаСрещуCovid19 https://t.co/6tSlDwmyj1	no	nan	nan	nan	nan	no	no
178	Българинът се плаши най-много от две неща - да не настине и да не се мине. Covid-19 буквално стреля в средата на тази дилема!	no	nan	nan	nan	nan	no	no
179	- @andreykovatchev ГЕРБ/ЕНП: Трябва да предотвратим ново затваряне на ЕС икономиката, като през март-април. Експертите трябва да кажат кое е най-доброто решение – да не се затваря икономиката, но в същото време да се ограничи разпространението на #COVID19! https://t.co/OB2RGTwfGX	no	nan	nan	nan	nan	no	no
180	Новата учебна година ще започне със засилени противоепидемични мерки както за учители, така и за родители, за които училището остава рисково място и е по-добре с часовете да се продължи онлайн. https://t.co/KhnHdoO9NA #EPALEBulgaria #COVID19 #училища	yes	no	yes	no	no	no	no
181	8 нови проекта 🔬 3⃣ за лечение и 5⃣ за диагностика на #coronavirus ще бъдат финансирани по Инициативата за иновативни лекарства на ЕС @IMI_JU 72 млн. идват по програма #H2020 🇪🇺 , а 45 млн. евро са от частни партньори. ℹ https://t.co/6L63Tz8fis #UnitedAgainstCoronaVirus https://t.co/EpdZoEQNLG	yes	no	yes	no	no	no	no
182	Защо жертвите на COVID-19 в България днес са толкова много https://t.co/MxKd32Tom8	no	nan	nan	nan	nan	no	no
183	Добро утро. Тук е всичко най-важно, което трябва да знаем в петък сутрин - и за протестите, и за аферите, и за COVID-19. Подготвено от @IvanBedrov. https://t.co/K6PxLZc7mS	no	nan	nan	nan	nan	no	no
184	Институтът Робърт Кох, германската агенция за контрол на заболяванията, е информирала СЗО, че твърдение на екип от Университета Лудвиг Максимилан в Мюнхен, че вирусът 2019-nCoV се предава от хора преди появата на симптоми, публикувано в @nejm, е невярно. https://t.co/XJ76cujlKa	yes	no	yes	no	yes	no	no
185	Как Джокович изложи на опасност от COVID-19 Григор, други тенис звезди и стотици фенове, журналисти и деца https://t.co/XnLJYbi3cj	no	nan	nan	nan	nan	no	no
186	Италия изтрезнява след шокова доза дезинформация #Bulgaria #Coronavirus https://t.co/U9H6VJaaf2	no	nan	nan	nan	nan	no	no
187	За всички привърженици на швеЦкия модел! https://t.co/Crlrjai4AJ	no	nan	nan	nan	nan	no	no
188	#ЕвропаСрещуCOVID19 Малките стъпки понякога са достатъчни, за да постигнем заедно голяма промяна. Вижте историите на десетки европейци, които показаха, че всеки може да прояви солидарност и в най-трудните моменти: https://t.co/pQYGM4nDog	no	nan	nan	nan	nan	no	no
189	Действията на ЕС за ограничаване на #coronavirus 👇 Екипи на Европейски център за профилактика и контрол върху заболяванията @ECDC_EU са изпратени в Италия за оценка на ситуацията и оказване на техническа помощ. 👉 https://t.co/h9naiw1puT https://t.co/H7hAhONbbe	yes	no	yes	no	no	no	no
190	Ценността на единството и европейската солидарност може да се популяризира по всякакви начини. Елена дава вдъхновяващ пример за това как можем да обединим хора от цяла Европа, като в същото време спазваме съответните здравни и граждански препоръки. #ЕвропаСрещуCOVID19	no	nan	nan	nan	nan	no	no
191	196 са новодиагностицираните с COVID-19 лица през последното денонощие https://t.co/nydrwqnRof	yes	no	yes	no	no	no	no
192	Учени от Македонската академия на науките (🤭) са открили, че коронавирусът идва от Прилеп, което отново доказва, че дори и COVID-19 е македонски!	no	nan	nan	nan	nan	no	no
193	Пандемията, причинена от COVID-19, ни принуди за съжаление да отложим за края на годината Европейския конгрес на младите фермери, на който съм съорганизатор. Радвам се, обаче, че кризата направи нашите млади фермери още по-активни в търсене на работещи решения. https://t.co/82VvUZVpew	no	nan	nan	nan	nan	no	no
194	Днешната среща на върха на ЕС и Индия беше изключително плодотворна. @eucopresident @CharlesMichel @EU_Commisision President @vonderleyen и аз обсъдихме различни теми, ситуацията с КОВИД-19, ногостранчивостта, околната среда, търговията, инвестициите, дигиталната икономика и др. https://t.co/BvHoU1Y0oE	no	nan	nan	nan	nan	no	no
195	.@EP_President Сасоли: За мен е чест да бъда в Мадрид да почета жертвите на #COVID19 и да отдам уважение на всички, които са на предна линия в борбата с пандемията. Гражданите ни са пример за солидарност и хуманност - ценности, върху които е изградена Европа. https://t.co/qyqdIdWPTk	no	nan	nan	nan	nan	no	no
196	Пълната програма можете да намерите тук: https://t.co/afHq60DG2t Включете се и в инициативите из цяла Европа: https://t.co/DL9IU9CAxf Още информация има тук: https://t.co/0ZE620CNCq #EuropeDay #ЕвропаСрещуCOVID19 https://t.co/dBgHd45b4P	no	nan	nan	nan	nan	no	no
197	За значението на свободата днес, по време на настоящата криза, и за ролята на свободата за създаването на новия свят след COVID-19: въвеждащи думи на @SashaBezuhanova по време на първата ни специална дискусия за голямата промяна, в която живеем. https://t.co/V74tYNMbdB #movebg	no	nan	nan	nan	nan	no	no
198	Продължаваме да работим за вас! Поради извънредните обстоятелства, центрове EUROPE DIRECT в България работят от вкъщи. За да ви съобщаваме последните европейските новини и да сте наистина информирани за нашия общ дом Европа. #weareallinthistogether #stayhome #staysafe https://t.co/uxSojvIOyq	no	nan	nan	nan	nan	no	no
199	Шест са медицинските лица с доказан COVID-19 през последното денонощие https://t.co/7pcS1FxewD	yes	no	yes	no	no	no	no
200	Борбата е и ние да влезнем в някое такова изследване с аквариумите на Витошка https://t.co/JTFAuo1qVo	no	nan	nan	nan	nan	no	no
201	#COVID19 📓 В помощ на безопасното възстановяване на транспортните услуги в Европа @ECDC_EU и @EASA издадоха насоки за управление на 🛫 потоците от пътници и авиaционния персонал. Вижте тук👉 https://t.co/SPArWjnfDo https://t.co/CvSCvQYwqT	yes	no	yes	no	no	no	no
202	Екатерина Захариева: Инфраструктурата е дала демокрация и свобода на българите Ако се оплаквате от противоконституционни #COVID19 мерки, значи нищо не сте разбрали. ТОЙ ви даде пътища – нямате никакви основания да се оплаквате.	no	nan	nan	nan	nan	no	no
203	Дер Щандард със сериозна (и заслужена) критика за неадекватността на мерките срещу Ковид-19 в Австрия през последните няколко седмици. https://t.co/k6ejISRPy9	no	nan	nan	nan	nan	no	no
204	Азия се готви COVID-19 да се върне като бумеранг https://t.co/no6AkS3mME	no	nan	nan	nan	nan	no	no
205	2008 са излекуваните у нас лица, при които е бил доказан COVID-19 https://t.co/NqFDcmcxUx	yes	no	yes	no	no	no	no
206	Вържи попа, да е мирна здравната система! /българска covid поговорка от 21 век/ Мария Лалева	no	nan	nan	nan	nan	no	no
207	Сега е времето да си знаете правата и как да се пазите от агресивни договорни партньори: https://t.co/SnwqoHO5rS	no	nan	nan	nan	nan	no	no
208	Решението на кризата с #coronavirus изисква глобални усилия. 🌍 Включете се в #UnitedAgainstCoronavirus!Начало 4⃣ май. 👉 https://t.co/boizCHdFFc https://t.co/I39VGffiB7	no	nan	nan	nan	nan	no	no
209	Следете за симптоми. Най-вече високата температура в началото. И бъдете готови за най-лошото защото това очевидно не е просто грип за доста хора. https://t.co/WpbFjxvuaS	no	nan	nan	nan	nan	no	no
210	Ново изследване на DNG поставя Австрия на шесто място в света по безопасност по отношение на #COVID19. България е на 48 позиция: https://t.co/csqrcnRN6f https://t.co/e5iuQXRCKV	yes	no	yes	no	no	no	no
211	FAITH: Партньорите обсъдиха ситуацията с COVID-19 https://t.co/O4vM4b3G5I	no	nan	nan	nan	nan	no	no
212	#grigordimitrov 🇧🇬 #shared #his #covid19 #infection #period #experience as a #warning at #cincytennis #2020 #yesterday https://t.co/ZfCzJWT6f1 Григор Димитров се надява, опитът м COVID-19 ще послужи като урок за други Световният №19 казва, че е благодарен, че тази годи… https://t.co/sg01zuA7u1	no	nan	nan	nan	nan	no	no
213	След пандемията с #COVID19 нямаме нужда от повече доказателства, че цифровото образование 🖱 ще определя бъдещето. Участвайте в 📢 🖊 публичната ни консултация за Плана за действие за цифровото образование. Отворена от днес 👉 https://t.co/s3dbKc8nfU #EUHaveYourSay https://t.co/Ju3CmX3BY6	no	nan	nan	nan	nan	no	no
214	може би ако рапърите спрат да се снимат с проститутки пред лимузини и започнат да се снимат на опашката пред бюрото по труда и в рейса на път за женски пазар за по-евтин зарзават, тогава хората ще повярват че няма пари за музика https://t.co/4Mb7zsVaug	no	nan	nan	nan	nan	no	no
215	При четирима българи е потвърден новият коронавирус COVID-19 https://t.co/JRwYuybR7y	yes	no	yes	no	no	no	no
216	#ЕвропаСрещуCOVID19 Мари от Париж работи с майстори готвачи и решава да направи нещо за медицинските специалисти на предна линия в борбата с пандемията. Организира инициатива, с която насърчава ресторантьори да предлагат храна на медицинския персонал: https://t.co/pQYGM461ZG https://t.co/HtkfYFfPlE	no	nan	nan	nan	nan	no	no
217	Форбс ни посочи като 48-та държава по безопасност. Не първа, както ни убеждаваше премиерът Борисов https://t.co/mWBETcy0TA	yes	no	yes	yes	no	no	nan
218	#Германски компании обмислят да преместят производствата си у нас, за да скъсят веригите на доставки #nearshoring Как #COVID19 се отрази на германския #бизнес в #България-Митко Василев, главен управител на @AHK_Bulgarien,пред https://t.co/gC3ChPfOql https://t.co/fiQAs0GrfM https://t.co/SRBb7D1heI	no	nan	nan	nan	nan	no	no
219	26 специалисти по икономика, право, философия и етика, социология, психология, и химия изтъкват, че е важно да се разработят критерии и стратегии за постепенно завръщане на Германия към нормалността  https://t.co/aWAUn6OqYV	no	nan	nan	nan	nan	no	no
220	- @Emil_Radev: Да не допускаме с разпространението на #COVID19 да ни заразява и вирусът на евроскептицизма. Европа съвсем не е пациент на вентилационно дишане - напротив! ЕС мобилизира огромен финансов ресурс за противодействие на пандемията и последиците! https://t.co/ZMZs6psRxV	yes	no	yes	no	no	no	no
221	Тоя COVID-19 е като рогата при мъжете: - Едни имат. - Други ще имат. - А трети никога няма да разберат, че са имали...	no	nan	nan	nan	nan	no	no
222	Пандемията с #coronavirus показа, че дезинформацията може реално да застраши живота ни 🤥. ЕС 🇪🇺 вече обяви стъпките за изграждане на система срещу #disinformation, която да може да ни предпази независимо от произхода ѝ. Всичко за действията👉https://t.co/3SCbcgxWnR #FactsMatter https://t.co/QrlRMIKPka	yes	no	yes	no	no	no	yes
223	Европейският съюз засилва мерките си срещу дезинформацията относно #COVID19, като в същото време защитава свободата на изразяване &gt;&gt;&gt; https://t.co/IQe1WOUbj9 https://t.co/JNceVGZ7Di	yes	no	yes	no	no	no	no
224	В свое писмо до Европейската комисия българският евродепутат от ГЕРБ/ЕНП д-р @andreykovatchev отправи питане за липсата на единен медицински протокол за #COVID19. https://t.co/MUJSHwzd6Z	no	nan	nan	nan	nan	no	no
225	“Неволи” в смисъл на опасни за обществото глупости https://t.co/tzTN3sz9xQ	no	nan	nan	nan	nan	no	no
226	Нови 130 случаи на Covid-19 в България за ден https://t.co/vmiTlU6yUT	yes	no	yes	no	no	no	no
227	🇹🇼 🇪🇺 Тайван дарява 5.6 милиона маски за борбата на ЕС с #COVID19. 🙌 https://t.co/OZfzFYTUFa	yes	no	yes	no	no	no	no
228	Георги Пеев, генерален директор на #BULATSA, споделя идеи за това как доставчикът на аеронавигационно обслужване ръководен от него се справя с предизвикателствата на COVID-19. https://t.co/wj6NdOWMyV https://t.co/QPvIyjfaAW	no	nan	nan	nan	nan	no	no
229	325 са новите случаи на COVID-19, потвърдени у нас през изминалите 24 часа https://t.co/JdSwZM7Obi	yes	no	yes	no	no	no	no
230	21 са новите случаи на COVID-19 в България https://t.co/IYe5cp3ljY	yes	no	yes	no	no	no	no
231	338 са регистрираните случаи на COVID-19 у нас https://t.co/8Ge2pT446S	yes	no	yes	no	no	no	no
232	Комисарите @PaoloGentiloni и @NicolasSchmitEU: Със #SURE солидарността с работниците в Европа става реалност #StrongerTogether2020 #EUSolidarity #COVID19 https://t.co/W1y0PMCIQC via @dnevnik @ECinBulgaria @EU_Social @ecfin	no	nan	nan	nan	nan	no	no
233	Пуснаха официалния сайт https://t.co/eoFqTA2IpN Най-сетне можете компетентно да коментирате нещо свързано с темата.	no	nan	nan	nan	nan	no	no
234	#ЕвропаСрещуCOVID19 Това е само една „моментна снимка“ на европейската солидарност. Вижте още европейски истории за солидарност и надежда, които ни вдъхновяват да останем силни: https://t.co/pQYGM4nDog	yes	no	yes	no	no	no	no
235	След малко 🔜 На живо 🔴🎥пресконференция на @vonderleyen и @eucopresident относно отговора на ЕС на #coronavirus ➡ https://t.co/Bc3o6jOAFM https://t.co/agSnRaegLP	no	nan	nan	nan	nan	no	no
236	Какъвто донорът,такова и дарението му! #Пеевскифурмикорупция https://t.co/BI6noB0w9l	no	nan	nan	nan	nan	no	nan
237	Гледам графиката на случаите на COVID-19, гледам я.. и виждам как от известно време вирусът ни показва среден пръст https://t.co/M6h2efvwGy	no	nan	nan	nan	nan	no	no
238	182 са новодиагностицираните с COVID-19 лица през изминалото денонощие https://t.co/9H3WzJSFrD	yes	no	yes	no	no	no	no
239	Великден без агне, е като Северна Корея без болен от COVID-19.	no	nan	nan	nan	nan	no	no
240	Благодаря ви, председател @ibusolih! Индия ще продължи да подкрепя Малдивите за смекчаване на икономическото въздействие от пандемията COVID-19. Нашето специално приятелство е и винаги ще остане толкова дълбоко, колкото водите на Индийския океан. https://t.co/BOPTXWbup4	no	nan	nan	nan	nan	no	no
241	Скъпи хора, безкрайно съм щастлив да споделя с вас едно ново начало за https://t.co/a4RhXT54Bd - онлайн предаване за нови технологии и телекомуникации. Започва ТЕХНОЛОГИЧНИЯТ КЛУБ! https://t.co/aJSV3CjfK1 Благодаря на всички замесени с помощ и подкрепа! #ТЕХНОЛОГИЧНИЯТКЛУБ https://t.co/aZRpg6JoMH	no	nan	nan	nan	nan	no	no
242	Подобно на Каролин, много европейци се включиха по различни начини в борбата срещу коронавируса. Вижте историите на някои от тях: https://t.co/pQYGM4nDog #ЕвропаСрещуCOVID19	no	nan	nan	nan	nan	no	no
243	37 вече са излекуваните пациенти от COVID-19 у нас https://t.co/5Ulqdb6Q6u	yes	no	yes	no	no	no	no
244	Ако всеки се осмели да казва истината, ще съм в безопасност. Какво се случва с хората в Китай, които разказват за COVID-19. Как работи цензурата и защо държавата се е превърнала в това, което е. Елица Симеонова разказва. https://t.co/XVgWDnZX0d	no	nan	nan	nan	nan	yes	yes
245	Кризата с COVID 19 не е здравна, а политическа и икономическа https://t.co/KdYRnohO78	no	nan	nan	nan	nan	yes	nan
246	“България ер” - официален превозвач на COVID19.	no	nan	nan	nan	nan	no	no
247	Ниво 2 на Рамката за безопасно излизане се отнася за това да бъдем по-безопасно заедно, докато продължаваме напред към един нов вид „нормален“ начин на живот с COVID-19. Заедно трябва да постигнем https://t.co/2JkN7fmI1p	no	nan	nan	nan	nan	no	yes
248	Чоукър Covid-19 едишън с шипове по метър и пеесе, да се набожда всеки олигофрен, който не спазва дистанция	no	nan	nan	nan	nan	no	no
249	4 са новите случаи на COVID-19 по данни на Националният оперативен щаб https://t.co/dPQkxByZEk	yes	no	yes	no	no	no	no
250	70-годишен американец преборил COVID-19, като 62 дена бил в болница. Когато се възстановил и получил от болницата фактура за 1 122 501 долара, а здравната му застраховка била едва 6000 долара. Този човек става роб на болницата до края на дните си. Американска ''демокрация''.	no	nan	nan	nan	nan	yes	yes
251	Статия на @PremierRP на #Полша 🇵🇱 @MorawieckiM във вестник @faznet 📰: "Днес в много по-голяма степен от когато и да било се нуждаем от една солидарна #Европа... 🇵🇱🇪🇺✌️ #solidarity🇵🇱 #EUsolidarity #останивкъщи #заеднощесесправим #заедно #Covid19 https://t.co/rQnoCTHHIh	no	nan	nan	nan	nan	no	yes
252	#Българският учител вече е по-подготвен от редица свои европейски колеги за дигиталното обучение Кризата в образователната сфера в резултат на #COVID19 беше по-добре управлявана у нас–Иван Господинов,учител и част@KhanAcademyBG предhttps://t.co/gC3ChPfOql https://t.co/zlptoCfbK3 https://t.co/Z5v6DW1Qwy	no	nan	nan	nan	nan	no	no
253	Фолкс, важно е да бъдете предпазливи. Заради вас, заради вашите приятели и роднини. Ако има бременни около вас, бъдете още по-внимателни https://t.co/8Gv7KtzwMV	no	nan	nan	nan	nan	no	yes
254	Мобилните apps могат да играят важна роля в борбата срещу #Covid19, но повдигнат проблеми с поверителността и защита на данните. Евродепутатите призовават за ефективни мерки и координиран подход по тази тема #EuropeansAgainstCovid19 apps с/у #COVID19 https://t.co/MR11bjujgq https://t.co/w8ane1lMQA	no	nan	nan	nan	nan	no	yes
